Brasil e Grande Região;Trimestre;Nível de instrução;Variável - População (Mil pessoas)
Brasil;1º trimestre 2015;Sem instrução e menos de 1 ano de estudo;14771
Brasil;1º trimestre 2015;Ensino fundamental incompleto ou equivalente;72029
Brasil;1º trimestre 2015;Ensino fundamental completo ou equivalente;18406
Brasil;1º trimestre 2015;Ensino médio incompleto ou equivalente;12419
Brasil;1º trimestre 2015;Ensino médio completo ou equivalente;42653
Brasil;1º trimestre 2015;Ensino superior incompleto ou equivalente;7847
Brasil;1º trimestre 2015;Ensino superior completo ou equivalente;18564
Brasil;2º trimestre 2015;Sem instrução e menos de 1 ano de estudo;15017
Brasil;2º trimestre 2015;Ensino fundamental incompleto ou equivalente;71938
Brasil;2º trimestre 2015;Ensino fundamental completo ou equivalente;18129
Brasil;2º trimestre 2015;Ensino médio incompleto ou equivalente;12714
Brasil;2º trimestre 2015;Ensino médio completo ou equivalente;42481
Brasil;2º trimestre 2015;Ensino superior incompleto ou equivalente;7894
Brasil;2º trimestre 2015;Ensino superior completo ou equivalente;18843
Brasil;3º trimestre 2015;Sem instrução e menos de 1 ano de estudo;15654
Brasil;3º trimestre 2015;Ensino fundamental incompleto ou equivalente;71461
Brasil;3º trimestre 2015;Ensino fundamental completo ou equivalente;17929
Brasil;3º trimestre 2015;Ensino médio incompleto ou equivalente;12499
Brasil;3º trimestre 2015;Ensino médio completo ou equivalente;42531
Brasil;3º trimestre 2015;Ensino superior incompleto ou equivalente;8015
Brasil;3º trimestre 2015;Ensino superior completo ou equivalente;19270
Brasil;4º trimestre 2015;Sem instrução e menos de 1 ano de estudo;16764
Brasil;4º trimestre 2015;Ensino fundamental incompleto ou equivalente;71286
Brasil;4º trimestre 2015;Ensino fundamental completo ou equivalente;16679
Brasil;4º trimestre 2015;Ensino médio incompleto ou equivalente;12318
Brasil;4º trimestre 2015;Ensino médio completo ou equivalente;43637
Brasil;4º trimestre 2015;Ensino superior incompleto ou equivalente;7435
Brasil;4º trimestre 2015;Ensino superior completo ou equivalente;19586
Brasil;1º trimestre 2016;Sem instrução e menos de 1 ano de estudo;14774
Brasil;1º trimestre 2016;Ensino fundamental incompleto ou equivalente;70865
Brasil;1º trimestre 2016;Ensino fundamental completo ou equivalente;17220
Brasil;1º trimestre 2016;Ensino médio incompleto ou equivalente;12744
Brasil;1º trimestre 2016;Ensino médio completo ou equivalente;44497
Brasil;1º trimestre 2016;Ensino superior incompleto ou equivalente;7771
Brasil;1º trimestre 2016;Ensino superior completo ou equivalente;20177
Brasil;2º trimestre 2016;Sem instrução e menos de 1 ano de estudo;15746
Brasil;2º trimestre 2016;Ensino fundamental incompleto ou equivalente;70759
Brasil;2º trimestre 2016;Ensino fundamental completo ou equivalente;16950
Brasil;2º trimestre 2016;Ensino médio incompleto ou equivalente;12845
Brasil;2º trimestre 2016;Ensino médio completo ou equivalente;44115
Brasil;2º trimestre 2016;Ensino superior incompleto ou equivalente;7893
Brasil;2º trimestre 2016;Ensino superior completo ou equivalente;20073
Brasil;3º trimestre 2016;Sem instrução e menos de 1 ano de estudo;16063
Brasil;3º trimestre 2016;Ensino fundamental incompleto ou equivalente;70440
Brasil;3º trimestre 2016;Ensino fundamental completo ou equivalente;16488
Brasil;3º trimestre 2016;Ensino médio incompleto ou equivalente;13023
Brasil;3º trimestre 2016;Ensino médio completo ou equivalente;44601
Brasil;3º trimestre 2016;Ensino superior incompleto ou equivalente;7771
Brasil;3º trimestre 2016;Ensino superior completo ou equivalente;20338
Brasil;4º trimestre 2016;Sem instrução e menos de 1 ano de estudo;16308
Brasil;4º trimestre 2016;Ensino fundamental incompleto ou equivalente;70354
Brasil;4º trimestre 2016;Ensino fundamental completo ou equivalente;16359
Brasil;4º trimestre 2016;Ensino médio incompleto ou equivalente;13131
Brasil;4º trimestre 2016;Ensino médio completo ou equivalente;44686
Brasil;4º trimestre 2016;Ensino superior incompleto ou equivalente;7678
Brasil;4º trimestre 2016;Ensino superior completo ou equivalente;20558
Brasil;1º trimestre 2017;Sem instrução e menos de 1 ano de estudo;14632
Brasil;1º trimestre 2017;Ensino fundamental incompleto ou equivalente;70332
Brasil;1º trimestre 2017;Ensino fundamental completo ou equivalente;16747
Brasil;1º trimestre 2017;Ensino médio incompleto ou equivalente;13110
Brasil;1º trimestre 2017;Ensino médio completo ou equivalente;45651
Brasil;1º trimestre 2017;Ensino superior incompleto ou equivalente;7956
Brasil;1º trimestre 2017;Ensino superior completo ou equivalente;20992
Brasil;2º trimestre 2017;Sem instrução e menos de 1 ano de estudo;14842
Brasil;2º trimestre 2017;Ensino fundamental incompleto ou equivalente;70836
Brasil;2º trimestre 2017;Ensino fundamental completo ou equivalente;16004
Brasil;2º trimestre 2017;Ensino médio incompleto ou equivalente;13585
Brasil;2º trimestre 2017;Ensino médio completo ou equivalente;45396
Brasil;2º trimestre 2017;Ensino superior incompleto ou equivalente;8198
Brasil;2º trimestre 2017;Ensino superior completo ou equivalente;20889
Brasil;3º trimestre 2017;Sem instrução e menos de 1 ano de estudo;15270
Brasil;3º trimestre 2017;Ensino fundamental incompleto ou equivalente;70430
Brasil;3º trimestre 2017;Ensino fundamental completo ou equivalente;15883
Brasil;3º trimestre 2017;Ensino médio incompleto ou equivalente;13550
Brasil;3º trimestre 2017;Ensino médio completo ou equivalente;45271
Brasil;3º trimestre 2017;Ensino superior incompleto ou equivalente;8380
Brasil;3º trimestre 2017;Ensino superior completo ou equivalente;21300
Brasil;4º trimestre 2017;Sem instrução e menos de 1 ano de estudo;15475
Brasil;4º trimestre 2017;Ensino fundamental incompleto ou equivalente;70367
Brasil;4º trimestre 2017;Ensino fundamental completo ou equivalente;15787
Brasil;4º trimestre 2017;Ensino médio incompleto ou equivalente;13315
Brasil;4º trimestre 2017;Ensino médio completo ou equivalente;45570
Brasil;4º trimestre 2017;Ensino superior incompleto ou equivalente;8349
Brasil;4º trimestre 2017;Ensino superior completo ou equivalente;21543
Brasil;1º trimestre 2018;Sem instrução e menos de 1 ano de estudo;14147
Brasil;1º trimestre 2018;Ensino fundamental incompleto ou equivalente;70116
Brasil;1º trimestre 2018;Ensino fundamental completo ou equivalente;15601
Brasil;1º trimestre 2018;Ensino médio incompleto ou equivalente;13423
Brasil;1º trimestre 2018;Ensino médio completo ou equivalente;46561
Brasil;1º trimestre 2018;Ensino superior incompleto ou equivalente;8799
Brasil;1º trimestre 2018;Ensino superior completo ou equivalente;22079
Brasil;2º trimestre 2018;Sem instrução e menos de 1 ano de estudo;14582
Brasil;2º trimestre 2018;Ensino fundamental incompleto ou equivalente;70001
Brasil;2º trimestre 2018;Ensino fundamental completo ou equivalente;15416
Brasil;2º trimestre 2018;Ensino médio incompleto ou equivalente;13597
Brasil;2º trimestre 2018;Ensino médio completo ou equivalente;46155
Brasil;2º trimestre 2018;Ensino superior incompleto ou equivalente;9028
Brasil;2º trimestre 2018;Ensino superior completo ou equivalente;22250
Brasil;3º trimestre 2018;Sem instrução e menos de 1 ano de estudo;14662
Brasil;3º trimestre 2018;Ensino fundamental incompleto ou equivalente;69745
Brasil;3º trimestre 2018;Ensino fundamental completo ou equivalente;15274
Brasil;3º trimestre 2018;Ensino médio incompleto ou equivalente;13645
Brasil;3º trimestre 2018;Ensino médio completo ou equivalente;46342
Brasil;3º trimestre 2018;Ensino superior incompleto ou equivalente;9008
Brasil;3º trimestre 2018;Ensino superior completo ou equivalente;22672
