Brasil e Grande Região;Trimestre;Nível de instrução;Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência (Mil pessoas)
Brasil;1º trimestre 2015;Sem instrução e menos de 1 ano de estudo;112
Brasil;1º trimestre 2015;Ensino fundamental incompleto ou equivalente;1793
Brasil;1º trimestre 2015;Ensino fundamental completo ou equivalente;910
Brasil;1º trimestre 2015;Ensino médio incompleto ou equivalente;933
Brasil;1º trimestre 2015;Ensino médio completo ou equivalente;2994
Brasil;1º trimestre 2015;Ensino superior incompleto ou equivalente;506
Brasil;1º trimestre 2015;Ensino superior completo ou equivalente;717
Brasil;2º trimestre 2015;Sem instrução e menos de 1 ano de estudo;145
Brasil;2º trimestre 2015;Ensino fundamental incompleto ou equivalente;1951
Brasil;2º trimestre 2015;Ensino fundamental completo ou equivalente;987
Brasil;2º trimestre 2015;Ensino médio incompleto ou equivalente;963
Brasil;2º trimestre 2015;Ensino médio completo ou equivalente;3163
Brasil;2º trimestre 2015;Ensino superior incompleto ou equivalente;551
Brasil;2º trimestre 2015;Ensino superior completo ou equivalente;648
Brasil;3º trimestre 2015;Sem instrução e menos de 1 ano de estudo;147
Brasil;3º trimestre 2015;Ensino fundamental incompleto ou equivalente;2175
Brasil;3º trimestre 2015;Ensino fundamental completo ou equivalente;1049
Brasil;3º trimestre 2015;Ensino médio incompleto ou equivalente;1055
Brasil;3º trimestre 2015;Ensino médio completo ou equivalente;3265
Brasil;3º trimestre 2015;Ensino superior incompleto ou equivalente;589
Brasil;3º trimestre 2015;Ensino superior completo ou equivalente;768
Brasil;4º trimestre 2015;Sem instrução e menos de 1 ano de estudo;174
Brasil;4º trimestre 2015;Ensino fundamental incompleto ou equivalente;2145
Brasil;4º trimestre 2015;Ensino fundamental completo ou equivalente;979
Brasil;4º trimestre 2015;Ensino médio incompleto ou equivalente;1105
Brasil;4º trimestre 2015;Ensino médio completo ou equivalente;3353
Brasil;4º trimestre 2015;Ensino superior incompleto ou equivalente;576
Brasil;4º trimestre 2015;Ensino superior completo ou equivalente;789
Brasil;1º trimestre 2016;Sem instrução e menos de 1 ano de estudo;219
Brasil;1º trimestre 2016;Ensino fundamental incompleto ou equivalente;2372
Brasil;1º trimestre 2016;Ensino fundamental completo ou equivalente;1186
Brasil;1º trimestre 2016;Ensino médio incompleto ou equivalente;1373
Brasil;1º trimestre 2016;Ensino médio completo ou equivalente;4258
Brasil;1º trimestre 2016;Ensino superior incompleto ou equivalente;742
Brasil;1º trimestre 2016;Ensino superior completo ou equivalente;1003
Brasil;2º trimestre 2016;Sem instrução e menos de 1 ano de estudo;241
Brasil;2º trimestre 2016;Ensino fundamental incompleto ou equivalente;2573
Brasil;2º trimestre 2016;Ensino fundamental completo ou equivalente;1292
Brasil;2º trimestre 2016;Ensino médio incompleto ou equivalente;1425
Brasil;2º trimestre 2016;Ensino médio completo ou equivalente;4287
Brasil;2º trimestre 2016;Ensino superior incompleto ou equivalente;756
Brasil;2º trimestre 2016;Ensino superior completo ou equivalente;1009
Brasil;3º trimestre 2016;Sem instrução e menos de 1 ano de estudo;212
Brasil;3º trimestre 2016;Ensino fundamental incompleto ou equivalente;2737
Brasil;3º trimestre 2016;Ensino fundamental completo ou equivalente;1280
Brasil;3º trimestre 2016;Ensino médio incompleto ou equivalente;1534
Brasil;3º trimestre 2016;Ensino médio completo ou equivalente;4473
Brasil;3º trimestre 2016;Ensino superior incompleto ou equivalente;802
Brasil;3º trimestre 2016;Ensino superior completo ou equivalente;971
Brasil;4º trimestre 2016;Sem instrução e menos de 1 ano de estudo;247
Brasil;4º trimestre 2016;Ensino fundamental incompleto ou equivalente;2916
Brasil;4º trimestre 2016;Ensino fundamental completo ou equivalente;1294
Brasil;4º trimestre 2016;Ensino médio incompleto ou equivalente;1593
Brasil;4º trimestre 2016;Ensino médio completo ou equivalente;4532
Brasil;4º trimestre 2016;Ensino superior incompleto ou equivalente;754
Brasil;4º trimestre 2016;Ensino superior completo ou equivalente;987
Brasil;1º trimestre 2017;Sem instrução e menos de 1 ano de estudo;250
Brasil;1º trimestre 2017;Ensino fundamental incompleto ou equivalente;3149
Brasil;1º trimestre 2017;Ensino fundamental completo ou equivalente;1481
Brasil;1º trimestre 2017;Ensino médio incompleto ou equivalente;1723
Brasil;1º trimestre 2017;Ensino médio completo ou equivalente;5382
Brasil;1º trimestre 2017;Ensino superior incompleto ou equivalente;910
Brasil;1º trimestre 2017;Ensino superior completo ou equivalente;1235
Brasil;2º trimestre 2017;Sem instrução e menos de 1 ano de estudo;255
Brasil;2º trimestre 2017;Ensino fundamental incompleto ou equivalente;3116
Brasil;2º trimestre 2017;Ensino fundamental completo ou equivalente;1402
Brasil;2º trimestre 2017;Ensino médio incompleto ou equivalente;1672
Brasil;2º trimestre 2017;Ensino médio completo ou equivalente;5030
Brasil;2º trimestre 2017;Ensino superior incompleto ou equivalente;840
Brasil;2º trimestre 2017;Ensino superior completo ou equivalente;1109
Brasil;3º trimestre 2017;Sem instrução e menos de 1 ano de estudo;222
Brasil;3º trimestre 2017;Ensino fundamental incompleto ou equivalente;2963
Brasil;3º trimestre 2017;Ensino fundamental completo ou equivalente;1387
Brasil;3º trimestre 2017;Ensino médio incompleto ou equivalente;1632
Brasil;3º trimestre 2017;Ensino médio completo ou equivalente;4808
Brasil;3º trimestre 2017;Ensino superior incompleto ou equivalente;831
Brasil;3º trimestre 2017;Ensino superior completo ou equivalente;1050
Brasil;4º trimestre 2017;Sem instrução e menos de 1 ano de estudo;215
Brasil;4º trimestre 2017;Ensino fundamental incompleto ou equivalente;2832
Brasil;4º trimestre 2017;Ensino fundamental completo ou equivalente;1272
Brasil;4º trimestre 2017;Ensino médio incompleto ou equivalente;1586
Brasil;4º trimestre 2017;Ensino médio completo ou equivalente;4496
Brasil;4º trimestre 2017;Ensino superior incompleto ou equivalente;766
Brasil;4º trimestre 2017;Ensino superior completo ou equivalente;1111
Brasil;1º trimestre 2018;Sem instrução e menos de 1 ano de estudo;241
Brasil;1º trimestre 2018;Ensino fundamental incompleto ou equivalente;3061
Brasil;1º trimestre 2018;Ensino fundamental completo ou equivalente;1344
Brasil;1º trimestre 2018;Ensino médio incompleto ou equivalente;1677
Brasil;1º trimestre 2018;Ensino médio completo ou equivalente;5200
Brasil;1º trimestre 2018;Ensino superior incompleto ou equivalente;951
Brasil;1º trimestre 2018;Ensino superior completo ou equivalente;1197
Brasil;2º trimestre 2018;Sem instrução e menos de 1 ano de estudo;213
Brasil;2º trimestre 2018;Ensino fundamental incompleto ou equivalente;2889
Brasil;2º trimestre 2018;Ensino fundamental completo ou equivalente;1234
Brasil;2º trimestre 2018;Ensino médio incompleto ou equivalente;1624
Brasil;2º trimestre 2018;Ensino médio completo ou equivalente;4883
Brasil;2º trimestre 2018;Ensino superior incompleto ou equivalente;944
Brasil;2º trimestre 2018;Ensino superior completo ou equivalente;1161
Brasil;3º trimestre 2018;Sem instrução e menos de 1 ano de estudo;213
Brasil;3º trimestre 2018;Ensino fundamental incompleto ou equivalente;2748
Brasil;3º trimestre 2018;Ensino fundamental completo ou equivalente;1216
Brasil;3º trimestre 2018;Ensino médio incompleto ou equivalente;1666
Brasil;3º trimestre 2018;Ensino médio completo ou equivalente;4679
Brasil;3º trimestre 2018;Ensino superior incompleto ou equivalente;870
Brasil;3º trimestre 2018;Ensino superior completo ou equivalente;1103
Brasil;4º trimestre 2018;Sem instrução e menos de 1 ano de estudo;194
Brasil;4º trimestre 2018;Ensino fundamental incompleto ou equivalente;2751
Brasil;4º trimestre 2018;Ensino fundamental completo ou equivalente;1205
Brasil;4º trimestre 2018;Ensino médio incompleto ou equivalente;1549
Brasil;4º trimestre 2018;Ensino médio completo ou equivalente;4564
Brasil;4º trimestre 2018;Ensino superior incompleto ou equivalente;826
Brasil;4º trimestre 2018;Ensino superior completo ou equivalente;1126
Brasil;1º trimestre 2019;Sem instrução e menos de 1 ano de estudo;213
Brasil;1º trimestre 2019;Ensino fundamental incompleto ou equivalente;2727
Brasil;1º trimestre 2019;Ensino fundamental completo ou equivalente;1236
Brasil;1º trimestre 2019;Ensino médio incompleto ou equivalente;1714
Brasil;1º trimestre 2019;Ensino médio completo ou equivalente;5259
Brasil;1º trimestre 2019;Ensino superior incompleto ou equivalente;937
Brasil;1º trimestre 2019;Ensino superior completo ou equivalente;1352
Brasil;2º trimestre 2019;Sem instrução e menos de 1 ano de estudo;183
Brasil;2º trimestre 2019;Ensino fundamental incompleto ou equivalente;2688
Brasil;2º trimestre 2019;Ensino fundamental completo ou equivalente;1231
Brasil;2º trimestre 2019;Ensino médio incompleto ou equivalente;1616
Brasil;2º trimestre 2019;Ensino médio completo ou equivalente;4929
Brasil;2º trimestre 2019;Ensino superior incompleto ou equivalente;960
Brasil;2º trimestre 2019;Ensino superior completo ou equivalente;1190
Brasil;3º trimestre 2019;Sem instrução e menos de 1 ano de estudo;175
Brasil;3º trimestre 2019;Ensino fundamental incompleto ou equivalente;2759
Brasil;3º trimestre 2019;Ensino fundamental completo ou equivalente;1213
Brasil;3º trimestre 2019;Ensino médio incompleto ou equivalente;1677
Brasil;3º trimestre 2019;Ensino médio completo ou equivalente;4718
Brasil;3º trimestre 2019;Ensino superior incompleto ou equivalente;874
Brasil;3º trimestre 2019;Ensino superior completo ou equivalente;1165
Brasil;4º trimestre 2019;Sem instrução e menos de 1 ano de estudo;174
Brasil;4º trimestre 2019;Ensino fundamental incompleto ou equivalente;2486
Brasil;4º trimestre 2019;Ensino fundamental completo ou equivalente;1081
Brasil;4º trimestre 2019;Ensino médio incompleto ou equivalente;1462
Brasil;4º trimestre 2019;Ensino médio completo ou equivalente;4515
Brasil;4º trimestre 2019;Ensino superior incompleto ou equivalente;842
Brasil;4º trimestre 2019;Ensino superior completo ou equivalente;1137
Brasil;1º trimestre 2022;Sem instrução e menos de 1 ano de estudo;206
Brasil;1º trimestre 2022;Ensino fundamental incompleto ou equivalente;2189
Brasil;1º trimestre 2022;Ensino fundamental completo ou equivalente;981
Brasil;1º trimestre 2022;Ensino médio incompleto ou equivalente;1485
Brasil;1º trimestre 2022;Ensino médio completo ou equivalente;4839
Brasil;1º trimestre 2022;Ensino superior incompleto ou equivalente;790
Brasil;1º trimestre 2022;Ensino superior completo ou equivalente;1236
Brasil;2º trimestre 2022;Sem instrução e menos de 1 ano de estudo;166
Brasil;2º trimestre 2022;Ensino fundamental incompleto ou equivalente;1828
Brasil;2º trimestre 2022;Ensino fundamental completo ou equivalente;834
Brasil;2º trimestre 2022;Ensino médio incompleto ou equivalente;1241
