Brasil e Grande Região;Trimestre;Nível de instrução;Variável - Pessoas de 14 anos ou mais de idade, desocupadas na semana de referência (Mil pessoas)
Brasil;1º trimestre 2023;Sem instrução e menos de 1 ano de estudo;150
Brasil;1º trimestre 2023;Ensino fundamental incompleto ou equivalente;1675
Brasil;1º trimestre 2023;Ensino fundamental completo ou equivalente;757
Brasil;1º trimestre 2023;Ensino médio incompleto ou equivalente;1185
Brasil;1º trimestre 2023;Ensino médio completo ou equivalente;3840
Brasil;1º trimestre 2023;Ensino superior incompleto ou equivalente;613
Brasil;1º trimestre 2023;Ensino superior completo ou equivalente;1026
Brasil;2º trimestre 2023;Sem instrução e menos de 1 ano de estudo;138
Brasil;2º trimestre 2023;Ensino fundamental incompleto ou equivalente;1510
Brasil;2º trimestre 2023;Ensino fundamental completo ou equivalente;720
Brasil;2º trimestre 2023;Ensino médio incompleto ou equivalente;1060
Brasil;2º trimestre 2023;Ensino médio completo ou equivalente;3598
Brasil;2º trimestre 2023;Ensino superior incompleto ou equivalente;555
Brasil;2º trimestre 2023;Ensino superior completo ou equivalente;887
Brasil;3º trimestre 2023;Sem instrução e menos de 1 ano de estudo;144
Brasil;3º trimestre 2023;Ensino fundamental incompleto ou equivalente;1466
Brasil;3º trimestre 2023;Ensino fundamental completo ou equivalente;744
Brasil;3º trimestre 2023;Ensino médio incompleto ou equivalente;1059
Brasil;3º trimestre 2023;Ensino médio completo ou equivalente;3363
Brasil;3º trimestre 2023;Ensino superior incompleto ou equivalente;563
Brasil;3º trimestre 2023;Ensino superior completo ou equivalente;812
Brasil;4º trimestre 2023;Sem instrução e menos de 1 ano de estudo;132
Brasil;4º trimestre 2023;Ensino fundamental incompleto ou equivalente;1506
Brasil;4º trimestre 2023;Ensino fundamental completo ou equivalente;716
Brasil;4º trimestre 2023;Ensino médio incompleto ou equivalente;1028
Brasil;4º trimestre 2023;Ensino médio completo ou equivalente;3181
Brasil;4º trimestre 2023;Ensino superior incompleto ou equivalente;500
Brasil;4º trimestre 2023;Ensino superior completo ou equivalente;862
Brasil;1º trimestre 2024;Sem instrução e menos de 1 ano de estudo;130
Brasil;1º trimestre 2024;Ensino fundamental incompleto ou equivalente;1451
Brasil;1º trimestre 2024;Ensino fundamental completo ou equivalente;687
Brasil;1º trimestre 2024;Ensino médio incompleto ou equivalente;1070
Brasil;1º trimestre 2024;Ensino médio completo ou equivalente;3514
Brasil;1º trimestre 2024;Ensino superior incompleto ou equivalente;616
Brasil;1º trimestre 2024;Ensino superior completo ou equivalente;984
Brasil;2º trimestre 2024;Sem instrução e menos de 1 ano de estudo;115
Brasil;2º trimestre 2024;Ensino fundamental incompleto ou equivalente;1274
Brasil;2º trimestre 2024;Ensino fundamental completo ou equivalente;611
Brasil;2º trimestre 2024;Ensino médio incompleto ou equivalente;882
Brasil;2º trimestre 2024;Ensino médio completo ou equivalente;3133
Brasil;2º trimestre 2024;Ensino superior incompleto ou equivalente;486
Brasil;2º trimestre 2024;Ensino superior completo ou equivalente;887
Brasil;3º trimestre 2024;Sem instrução e menos de 1 ano de estudo;125
Brasil;3º trimestre 2024;Ensino fundamental incompleto ou equivalente;1161
Brasil;3º trimestre 2024;Ensino fundamental completo ou equivalente;599
Brasil;3º trimestre 2024;Ensino médio incompleto ou equivalente;846
Brasil;3º trimestre 2024;Ensino médio completo ou equivalente;2840
Brasil;3º trimestre 2024;Ensino superior incompleto ou equivalente;491
Brasil;3º trimestre 2024;Ensino superior completo ou equivalente;791
Brasil;4º trimestre 2024;Sem instrução e menos de 1 ano de estudo;122
Brasil;4º trimestre 2024;Ensino fundamental incompleto ou equivalente;1196
Brasil;4º trimestre 2024;Ensino fundamental completo ou equivalente;539
Brasil;4º trimestre 2024;Ensino médio incompleto ou equivalente;784
Brasil;4º trimestre 2024;Ensino médio completo ou equivalente;2786
Brasil;4º trimestre 2024;Ensino superior incompleto ou equivalente;438
Brasil;4º trimestre 2024;Ensino superior completo ou equivalente;819
Brasil;1º trimestre 2025;Sem instrução e menos de 1 ano de estudo;105
Brasil;1º trimestre 2025;Ensino fundamental incompleto ou equivalente;1206
Brasil;1º trimestre 2025;Ensino fundamental completo ou equivalente;557
Brasil;1º trimestre 2025;Ensino médio incompleto ou equivalente;806
Brasil;1º trimestre 2025;Ensino médio completo ou equivalente;3354
Brasil;1º trimestre 2025;Ensino superior incompleto ou equivalente;546
Brasil;1º trimestre 2025;Ensino superior completo ou equivalente;993
Brasil;2º trimestre 2025;Sem instrução e menos de 1 ano de estudo;60
Brasil;2º trimestre 2025;Ensino fundamental incompleto ou equivalente;986
Brasil;2º trimestre 2025;Ensino fundamental completo ou equivalente;457
Brasil;2º trimestre 2025;Ensino médio incompleto ou equivalente;691
Brasil;2º trimestre 2025;Ensino médio completo ou equivalente;2800
Brasil;2º trimestre 2025;Ensino superior incompleto ou equivalente;421
Brasil;2º trimestre 2025;Ensino superior completo ou equivalente;839
Norte;1º trimestre 2023;Sem instrução e menos de 1 ano de estudo;12
Norte;1º trimestre 2023;Ensino fundamental incompleto ou equivalente;120
Norte;1º trimestre 2023;Ensino fundamental completo ou equivalente;53
Norte;1º trimestre 2023;Ensino médio incompleto ou equivalente;88
Norte;1º trimestre 2023;Ensino médio completo ou equivalente;345
Norte;1º trimestre 2023;Ensino superior incompleto ou equivalente;58
Norte;1º trimestre 2023;Ensino superior completo ou equivalente;77
Norte;2º trimestre 2023;Sem instrução e menos de 1 ano de estudo;13
Norte;2º trimestre 2023;Ensino fundamental incompleto ou equivalente;110
Norte;2º trimestre 2023;Ensino fundamental completo ou equivalente;44
Norte;2º trimestre 2023;Ensino médio incompleto ou equivalente;70
Norte;2º trimestre 2023;Ensino médio completo ou equivalente;314
Norte;2º trimestre 2023;Ensino superior incompleto ou equivalente;59
Norte;2º trimestre 2023;Ensino superior completo ou equivalente;66
Norte;3º trimestre 2023;Sem instrução e menos de 1 ano de estudo;9
Norte;3º trimestre 2023;Ensino fundamental incompleto ou equivalente;109
Norte;3º trimestre 2023;Ensino fundamental completo ou equivalente;46
Norte;3º trimestre 2023;Ensino médio incompleto ou equivalente;77
Norte;3º trimestre 2023;Ensino médio completo ou equivalente;291
Norte;3º trimestre 2023;Ensino superior incompleto ou equivalente;48
Norte;3º trimestre 2023;Ensino superior completo ou equivalente;67
Norte;4º trimestre 2023;Sem instrução e menos de 1 ano de estudo;11
Norte;4º trimestre 2023;Ensino fundamental incompleto ou equivalente;123
Norte;4º trimestre 2023;Ensino fundamental completo ou equivalente;51
Norte;4º trimestre 2023;Ensino médio incompleto ou equivalente;83
Norte;4º trimestre 2023;Ensino médio completo ou equivalente;271
Norte;4º trimestre 2023;Ensino superior incompleto ou equivalente;45
Norte;4º trimestre 2023;Ensino superior completo ou equivalente;72
Norte;1º trimestre 2024;Sem instrução e menos de 1 ano de estudo;9
Norte;1º trimestre 2024;Ensino fundamental incompleto ou equivalente;112
Norte;1º trimestre 2024;Ensino fundamental completo ou equivalente;46
Norte;1º trimestre 2024;Ensino médio incompleto ou equivalente;83
Norte;1º trimestre 2024;Ensino médio completo ou equivalente;315
Norte;1º trimestre 2024;Ensino superior incompleto ou equivalente;54
Norte;1º trimestre 2024;Ensino superior completo ou equivalente;70
Norte;2º trimestre 2024;Sem instrução e menos de 1 ano de estudo;8
Norte;2º trimestre 2024;Ensino fundamental incompleto ou equivalente;88
Norte;2º trimestre 2024;Ensino fundamental completo ou equivalente;44
Norte;2º trimestre 2024;Ensino médio incompleto ou equivalente;70
Norte;2º trimestre 2024;Ensino médio completo ou equivalente;261
Norte;2º trimestre 2024;Ensino superior incompleto ou equivalente;44
Norte;2º trimestre 2024;Ensino superior completo ou equivalente;74
Norte;3º trimestre 2024;Sem instrução e menos de 1 ano de estudo;9
Norte;3º trimestre 2024;Ensino fundamental incompleto ou equivalente;99
Norte;3º trimestre 2024;Ensino fundamental completo ou equivalente;33
Norte;3º trimestre 2024;Ensino médio incompleto ou equivalente;70
Norte;3º trimestre 2024;Ensino médio completo ou equivalente;246
Norte;3º trimestre 2024;Ensino superior incompleto ou equivalente;43
Norte;3º trimestre 2024;Ensino superior completo ou equivalente;70
Norte;4º trimestre 2024;Sem instrução e menos de 1 ano de estudo;13
Norte;4º trimestre 2024;Ensino fundamental incompleto ou equivalente;101
Norte;4º trimestre 2024;Ensino fundamental completo ou equivalente;39
Norte;4º trimestre 2024;Ensino médio incompleto ou equivalente;71
Norte;4º trimestre 2024;Ensino médio completo ou equivalente;270
Norte;4º trimestre 2024;Ensino superior incompleto ou equivalente;39
Norte;4º trimestre 2024;Ensino superior completo ou equivalente;64
Norte;1º trimestre 2025;Sem instrução e menos de 1 ano de estudo;9
Norte;1º trimestre 2025;Ensino fundamental incompleto ou equivalente;120
Norte;1º trimestre 2025;Ensino fundamental completo ou equivalente;49
Norte;1º trimestre 2025;Ensino médio incompleto ou equivalente;61
Norte;1º trimestre 2025;Ensino médio completo ou equivalente;335
Norte;1º trimestre 2025;Ensino superior incompleto ou equivalente;48
Norte;1º trimestre 2025;Ensino superior completo ou equivalente;87
Norte;2º trimestre 2025;Sem instrução e menos de 1 ano de estudo;4
Norte;2º trimestre 2025;Ensino fundamental incompleto ou equivalente;82
Norte;2º trimestre 2025;Ensino fundamental completo ou equivalente;37
Norte;2º trimestre 2025;Ensino médio incompleto ou equivalente;64
Norte;2º trimestre 2025;Ensino médio completo ou equivalente;266
